segment_id,semantic_label,semantic_phase,median_x_mm,median_y_mm,median_z_mm,mean_x_mm,mean_y_mm,mean_z_mm,residual_p50_mm,residual_p90_mm,residual_p95_mm
S1,approach_blue_block_on_top_of_drawer,0.0,428.6022186279297,0.413133442401886,456.91468811035156,427.7200693766276,-0.17985842774311703,457.7997324625651,3.170037558511252,11.784609321132784,12.907081824827168
S1,approach_blue_block_on_top_of_drawer,0.01,426.0693097116807,-1.3389590207325015,459.4046167672303,426.6031786492075,-0.5611282920753088,458.97671670217375,5.384451356211542,13.641083318707143,14.418246473089427
S1,approach_blue_block_on_top_of_drawer,0.02,424.8832792122583,-1.8300747868204386,461.4021089424201,425.7547937801995,-0.896472535467241,460.1580043008258,8.704585173329615,15.84413425321915,16.81927505634146
S1,approach_blue_block_on_top_of_drawer,0.03,424.0457874769746,-1.7932957535184932,462.0462035398263,425.15545522988117,-1.2909304399646317,461.3148954593389,10.48356616422927,19.212843757325135,19.623721123194418
S1,approach_blue_block_on_top_of_drawer,0.04,425.18070270483906,-2.4035672451683965,462.29583428280347,425.093360645635,-1.8173121082989956,462.6678589269516,13.907516413548295,20.961914868583058,23.40570254145293
S1,approach_blue_block_on_top_of_drawer,0.05,426.70537387517624,-3.1382566127465763,463.20490549011777,425.4509050715606,-2.7399602945134984,463.99596224866946,16.241246449365445,23.150995840377526,27.664392806835163
S1,approach_blue_block_on_top_of_drawer,0.06,427.2145207384608,-5.370193410725439,465.1387230609179,426.0439225448917,-4.460947163212069,465.5737233454712,16.545586143154452,28.379235593693444,30.922415276257027
S1,approach_blue_block_on_top_of_drawer,0.07,429.00049473078894,-6.918740199390593,466.44924823535695,426.86120020997674,-6.740457712838586,466.8174640826638,17.91162207355117,32.133430176415885,33.21903303162418
S1,approach_blue_block_on_top_of_drawer,0.08,430.20844048710194,-9.406998527143767,468.2235302748454,427.6657680156946,-9.418148121066777,468.027870397983,19.60770669577633,32.883745270870236,33.782551924921286
S1,approach_blue_block_on_top_of_drawer,0.09,432.17708045698544,-12.58537711268766,469.27050845092435,428.8948519185075,-11.961390646178891,469.40176294962197,21.616067840433466,32.91581347654312,33.91547681649615
S1,approach_blue_block_on_top_of_drawer,0.1,433.4814613092377,-16.052697760536496,470.78271736310745,430.16027041349236,-14.585836600783365,470.59796958268964,21.839539122584466,34.0388934919567,34.52031908010971
S1,approach_blue_block_on_top_of_drawer,0.11,434.7634556407372,-19.533998861144514,471.4415545414509,431.42773233488185,-17.572519877961888,471.6560655457337,22.10434547052936,33.80268796448582,36.97150498431058
S1,approach_blue_block_on_top_of_drawer,0.12,436.69974421742165,-22.993417636955854,471.71675867784506,432.7004482678631,-20.897535537100783,472.53840657624727,22.644563926509633,34.993857948644276,37.892614878137245
S1,approach_blue_block_on_top_of_drawer,0.13,439.0213304799141,-25.8961847696932,473.688657797495,434.0846548976311,-24.17603172699553,473.3970446196339,22.56437312594803,35.223287626806304,38.73945108878485
S1,approach_blue_block_on_top_of_drawer,0.14,441.35752525968076,-27.81986895786371,474.0347944251496,435.4255699485771,-27.271820068517787,474.2295811979903,22.761763814862036,36.488544018456935,41.03748249596435
S1,approach_blue_block_on_top_of_drawer,0.15,443.8803272262918,-30.8967968692225,472.64406245204646,437.01883788690736,-30.273608070874793,475.0476744486907,22.595857213963814,36.16607882263606,44.179061528333406
S1,approach_blue_block_on_top_of_drawer,0.16,445.45136022550173,-33.86092426418964,473.8183059905914,438.8291234414902,-33.383398910355176,475.87805430888915,22.560041074240623,35.44205313677703,44.2325508956205
S1,approach_blue_block_on_top_of_drawer,0.17,446.74400270349446,-36.40599540227149,475.38340253678064,440.8070407845356,-36.564732148948664,476.7230208697238,24.32261679901194,35.95223810543542,43.19705517626674
S1,approach_blue_block_on_top_of_drawer,0.18,448.13691627803206,-38.91533087380276,476.21469593812196,442.8967049274953,-39.715069619012404,477.5711494266082,24.5517795377721,36.54604172243034,42.56219529441006
S1,approach_blue_block_on_top_of_drawer,0.19,449.44114173827677,-41.408690658107005,476.89127559618714,445.03280982966464,-42.85513426743816,478.3936620877555,24.335221260565568,36.92716712923105,42.02739674660236
S1,approach_blue_block_on_top_of_drawer,0.2,450.76421434522376,-43.917941128202884,477.67749632027505,447.1779050264275,-45.97828547463492,479.20665435223447,24.437460302628505,37.159471141039155,41.25587034456421
S1,approach_blue_block_on_top_of_drawer,0.21,452.01578836455263,-46.465070380032344,478.90634894865127,449.34765306747374,-49.092733064712625,479.99627101661804,25.88258335499151,36.313355433364535,40.79685834436849
