segment_id,parent_subgoal,semantic_label,label_ko,start_anchor,end_anchor,gripper_semantics,manipulated_object,entry_state,exit_state,path_length_median_mm,phase_residual_p90_mean_mm,confidence
S1,open_drawer,approach_drawer_handle,서랍 손잡이로 접근,START,C1,open; closes at C1,drawer_handle,"{""blue_block"": ""in_drawer"", ""drawer"": ""closed"", ""gripper"": ""open"", ""held_object"": ""none""}","{""blue_block"": ""in_drawer"", ""drawer"": ""closed"", ""gripper"": ""closed"", ""held_object"": ""drawer_handle""}",376.8139007798232,34.848020850420276,high
S2,open_drawer,manipulate_drawer_open,손잡이를 조작하여 서랍 열기,C1,O1,closed; opens at O1,drawer_handle,"{""blue_block"": ""in_drawer"", ""drawer"": ""closed"", ""gripper"": ""closed"", ""held_object"": ""drawer_handle""}","{""blue_block"": ""in_drawer"", ""drawer"": ""open"", ""gripper"": ""open"", ""held_object"": ""none""}",175.6930614750337,49.87628241342825,high
S3,acquire_blue_block_from_drawer,approach_blue_block_in_drawer,서랍 안의 파란 블록으로 접근,O1,C2,open; closes at C2,blue_block,"{""blue_block"": ""in_drawer"", ""drawer"": ""open"", ""gripper"": ""open"", ""held_object"": ""none""}","{""blue_block"": ""held"", ""drawer"": ""open"", ""gripper"": ""closed"", ""held_object"": ""blue_block""}",370.499565301613,57.10036711232041,high
S4,place_blue_block_on_black_table,lift_transport_and_align_blue_block_on_black_table,파란 블록을 들어 검은 테이블로 운반·정렬,C2,O2,closed; opens at O2,blue_block,"{""blue_block"": ""held"", ""drawer"": ""open"", ""gripper"": ""closed"", ""held_object"": ""blue_block""}","{""blue_block"": ""on_black_table"", ""drawer"": ""open"", ""gripper"": ""open"", ""held_object"": ""none""}",465.49702977886125,54.74134994374633,high
S5,close_drawer,close_drawer_and_retract_with_open_gripper,열린 그리퍼로 서랍을 닫고 후퇴,O2,END,open throughout,drawer_front,"{""blue_block"": ""on_black_table"", ""drawer"": ""open"", ""gripper"": ""open"", ""held_object"": ""none""}","{""blue_block"": ""on_black_table"", ""drawer"": ""closed"", ""gripper"": ""open"", ""held_object"": ""none""}",1009.2338235689896,63.5184362459126,medium
