segment_id,semantic_label,semantic_phase,median_x_mm,median_y_mm,median_z_mm,mean_x_mm,mean_y_mm,mean_z_mm,residual_p50_mm,residual_p90_mm,residual_p95_mm
S1,approach_blue_block_on_black_table,0.0,428.6618957519531,0.4227980822324753,456.91453552246094,427.34104512532554,2.045278486609459,457.2480743408203,3.6146775590854023,12.052019123336134,12.528092917172119
S1,approach_blue_block_on_black_table,0.01,427.98681395124504,0.48158006992112146,458.1970921880712,427.04208091055744,1.8881810821518377,458.1500205642349,4.715007742391425,11.374021048864352,12.790205022455327
S1,approach_blue_block_on_black_table,0.02,427.2978331144799,0.5838912501702888,458.95287902047596,426.7980075726618,1.4951059047108755,459.60540489395424,7.16105398540903,12.099602249031983,14.86780657435703
S1,approach_blue_block_on_black_table,0.03,426.4898823605121,0.5672011759147247,460.5282978047289,426.35430452826824,1.1363311772023956,461.2775532260488,8.45766933723424,14.559659195689221,17.047809378318583
S1,approach_blue_block_on_black_table,0.04,426.509178815973,0.5391697368622431,462.79013636350805,425.76516946199064,0.8020256527555802,463.1440539750507,9.436499995116948,15.51527357297833,18.610773687539055
S1,approach_blue_block_on_black_table,0.05,425.376947115711,-0.5641204378082324,464.5826502180803,424.9320603715443,0.09680456430315866,464.9812525977973,9.737070636178936,17.03825710895914,20.39848719583351
S1,approach_blue_block_on_black_table,0.06,423.7171230654218,-0.8205627020756191,465.5483485595911,423.9967802241354,-0.502849861376864,466.8530357670991,9.62191471115442,19.018023495212365,20.132165208656655
S1,approach_blue_block_on_black_table,0.07,422.5581759106502,-1.1747510720519863,467.4771485024915,422.84721796240717,-0.966092677594984,468.701476773454,10.741704293726272,19.875889381980322,21.05133713181347
S1,approach_blue_block_on_black_table,0.08,422.08932540169326,-2.1178476923835294,469.5959853843961,421.3925796590984,-1.4402017339571258,470.5266814307981,11.643130077048227,19.638315697282643,20.93807282008363
S1,approach_blue_block_on_black_table,0.09,420.7438377125627,-2.9449150368174424,471.4853924111561,419.78824644700023,-2.0236667890666244,472.21949711084983,11.897324413203735,19.352573347116852,21.695160617038333
S1,approach_blue_block_on_black_table,0.1,418.859847541483,-2.991867918003334,473.25959036296894,418.0498224225661,-2.5183738277431686,473.7716254235386,11.977391094849889,18.91736956392329,22.802136307913333
S1,approach_blue_block_on_black_table,0.11,417.0599296555512,-2.6924918247615923,474.4581307042598,416.22455066337676,-2.8788546434370175,475.27882532790983,12.089638564413077,19.06715818901407,24.288311045868372
S1,approach_blue_block_on_black_table,0.12,414.4697163576325,-2.164730148485921,475.4007689521651,414.33845846834004,-3.2011149016555276,476.72014639289347,12.439928835867931,20.45598381704764,25.790292031436692
S1,approach_blue_block_on_black_table,0.13,412.2960447686869,-2.3432192769953777,476.52942589752877,412.37984220476835,-3.4520088741264354,478.05358902007276,13.205336850026274,21.885569765455564,27.059964089993624
S1,approach_blue_block_on_black_table,0.14,410.1297362683839,-3.1708185636291764,477.4570521973776,410.37860173764574,-3.6614704855238216,479.30634521932166,13.81386719252546,24.214583057697197,28.055136060880987
S1,approach_blue_block_on_black_table,0.15,408.0939488224235,-4.383762752614675,478.3868125633604,408.23670524011766,-3.8262176229881053,480.4670401963473,15.001333096678783,24.8491711449691,29.377780865715284
S1,approach_blue_block_on_black_table,0.16,405.82522378481315,-4.500877573555562,478.7676846258293,406.04186686084034,-3.7849360337546143,481.430570252551,15.643373894058776,25.26893591343073,31.024806726787048
S1,approach_blue_block_on_black_table,0.17,403.66503543114413,-4.821239188074239,479.55999686945967,403.7131301719826,-3.6662686062594028,482.22904520332906,15.82329102792217,25.48264744801012,32.02435512774316
S1,approach_blue_block_on_black_table,0.18,401.7842857934447,-4.5410639840636415,480.44445266707623,401.3259033571361,-3.464353756050082,482.95113998097776,16.955874832569442,26.191394001690337,32.839286178969985
S1,approach_blue_block_on_black_table,0.19,399.2079560255429,-4.144832111949936,481.4999753053428,398.9075630997782,-3.1917183239219993,483.5618302490753,17.495061646645716,26.938435668853682,33.277895616895336
S1,approach_blue_block_on_black_table,0.2,396.30747538437686,-3.2343374514824226,482.2497681820986,396.46753769385344,-2.8669123516473,484.09333945840365,17.765656245991885,27.03148696936076,34.49932659837103
S1,approach_blue_block_on_black_table,0.21,393.1619844196562,-2.4544972035556922,483.229885302254,394.024035559006,-2.4429414957176676,484.58836918996207,18.20534620970269,27.51235202793521,34.00308168861041
S1,approach_blue_block_on_black_table,0.22,390.66142539678054,-1.8091699655673752,484.2392836096702,391.58845672176545,-1.9106818742516973,484.9833558076922,18.76544393564223,28.211711601254752,32.849030682071906
S1,approach_blue_block_on_black_table,0.23,388.47483069128316,-1.0815129729497468,485.59092815212205,389.15348860908114,-1.2738589395699642,485.27601902419616,19.84416118571344,29.13417493428448,31.437006736401866
S1,approach_blue_block_on_black_table,0.24,386.13725057368083,-0.574221697562194,486.675577808878,386.6794292972089,-0.6460484731388295,485.50608639595765,20.50072824133381,28.896961422017647,30.71872522682232
S1,approach_blue_block_on_black_table,0.25,383.56001996329576,0.31324792266958,486.959696174525,384.1868047147576,-0.03751683619995241,485.6456642744683,21.0981428776456,28.283436557122815,30.902878446607268
S1,approach_blue_block_on_black_table,0.26,381.1282699378552,1.8004257012867564,487.31001018426275,381.6899191271974,0.5827877605436249,485.7054032468715,21.063101150111436,28.320277484425905,31.125815389720696
S1,approach_blue_block_on_black_table,0.27,378.747862999689,3.294521353017858,487.9052597191966,379.19657460992283,1.2499333499206675,485.6826150727028,20.329285123495325,29.173639814999024,31.430967142787225
S1,approach_blue_block_on_black_table,0.28,376.01875132665873,3.785024141371188,488.4098507699583,376.7140471820641,2.0041962207727013,485.53362747986245,20.691381232830103,30.373321586903934,31.775015116408024
S1,approach_blue_block_on_black_table,0.29,373.4341076034599,4.699093028011035,488.43643781127446,374.2391843987506,2.781987991757984,485.26005881985026,20.748492199759667,30.77253327855813,32.24918333695592
S1,approach_blue_block_on_black_table,0.3,370.8899279066719,5.4283152457658765,487.55418826590903,371.7663783739073,3.501474275088136,484.8357227694235,20.647589178600604,30.620982772047917,31.61790381726712
S1,approach_blue_block_on_black_table,0.31,368.4178100708683,5.977410732645189,486.75753329550975,369.3256139479198,4.1431089465391375,484.2653950321371,21.236268555230524,30.596276969158367,31.357574341529883
S1,approach_blue_block_on_black_table,0.32,366.38054938162156,5.774820276661241,485.2923614913676,366.9051348082063,4.628549114951522,483.52425306348766,21.82393338288425,31.017168371823473,31.74706505858089
S1,approach_blue_block_on_black_table,0.33,364.3909700975385,6.705995698575611,484.2418156532933,364.5386412348515,5.0365440503580885,482.674165703242,22.7780334438184,31.47677989748624,32.99128489732943
S1,approach_blue_block_on_black_table,0.34,362.40238067207173,6.587622329627633,483.07504634441506,362.2080391876938,5.429835292678956,481.70260933080334,22.747819599404266,31.264559762820507,34.673554304006736
S1,approach_blue_block_on_black_table,0.35000000000000003,359.7580057510328,6.6945372074224565,481.6094815973362,359.92971725965265,5.773033817446576,480.6074652419933,23.92860593136795,31.69036802009405,36.13294794209189
S1,approach_blue_block_on_black_table,0.36,358.33684090762665,6.571603722607248,479.89256212142004,357.7059491937853,6.061317742601083,479.38186711774784,24.24738387077774,31.897277634768635,37.51393416264904
S1,approach_blue_block_on_black_table,0.37,357.1045896263364,6.197053091382595,477.99316225880807,355.5568609651785,6.3404411962721134,478.04383549452984,24.04322272252764,32.665378428209145,38.45935810387191
S1,approach_blue_block_on_black_table,0.38,355.12551955068676,6.752317144283468,476.0205471085175,353.4923180029342,6.655765422603328,476.5944272190292,24.493751913619622,34.752241965596646,38.32107121027701
S1,approach_blue_block_on_black_table,0.39,352.95106924089055,7.367463449592512,474.01270391688297,351.5529040947739,6.950817184489845,475.00821907121184,24.720057866307734,37.348927039564124,37.97389824101157
S1,approach_blue_block_on_black_table,0.4,350.7440534158629,7.535410460164342,471.96491173757806,349.74389296043995,7.209597460412156,473.2955036695423,25.33068192360735,36.87657378776702,39.77700718917331
S1,approach_blue_block_on_black_table,0.41000000000000003,348.5272706777908,7.837267795337664,470.10722448058533,348.08371312204497,7.478805734006267,471.4295960378392,25.412853580403386,35.93530649425353,41.75218685092512
S1,approach_blue_block_on_black_table,0.42,346.5487891198733,8.143395868465635,468.13799216092855,346.6055836839236,7.732867413607607,469.43561958145494,25.136443077830513,34.5645989369788,43.762287541865916
S1,approach_blue_block_on_black_table,0.43,345.16100352910087,8.19777249089553,466.8863879669724,345.3106826983419,7.965901721142951,467.35523603597244,25.77564289757987,35.06404033695926,45.766053927433006
S1,approach_blue_block_on_black_table,0.44,343.9022194033971,7.640089518912016,464.5768400810643,344.11989534363533,8.113901125891243,465.2551673656425,25.951780672899588,35.2500956960641,47.92914537900971
S1,approach_blue_block_on_black_table,0.45,343.32401819876566,7.275137808983397,462.24995571811473,342.9741442050517,8.24508502463242,463.07793776766283,25.97299362182848,35.25513309156815,49.97342702986538
S1,approach_blue_block_on_black_table,0.46,342.63424709606153,7.533860317192422,459.89632671507127,341.92483014885204,8.448598544948224,460.78814299606654,25.634496546786398,35.596103011585015,51.584291148231365
