segment_id,parent_subgoal,semantic_label,label_ko,start_anchor,end_anchor,gripper_semantics,manipulated_object,entry_state,exit_state,path_length_median_mm,phase_residual_p90_mean_mm,confidence
S1,acquire_blue_block_from_source_region,approach_blue_block_in_source_region,출발 영역의 파란 블록으로 접근,START,C1,open; closes at C1,blue_block,"{""blue_block"": ""source_region"", ""gripper"": ""open"", ""held_object"": ""none""}","{""blue_block"": ""held"", ""gripper"": ""closed"", ""held_object"": ""blue_block""}",490.4306222427535,50.40944582040158,medium
S2,place_blue_block_on_black_table,lift_transport_and_align_blue_block_to_black_table,파란 블록을 들어 검은 테이블로 운반·정렬,C1,O1,closed; opens at O1,blue_block,"{""blue_block"": ""held"", ""gripper"": ""closed"", ""held_object"": ""blue_block""}","{""blue_block"": ""on_black_table"", ""gripper"": ""open"", ""held_object"": ""none""}",583.2383157662435,65.55057012888568,high
S3,finish_task,retract_after_placing_blue_block_on_black_table,블록을 놓은 뒤 검은 테이블에서 후퇴,O1,END,open,none,"{""blue_block"": ""on_black_table"", ""gripper"": ""open"", ""held_object"": ""none""}","{""blue_block"": ""on_black_table"", ""gripper"": ""open"", ""held_object"": ""none""}",197.89633594290646,56.60637012126871,medium
