segment_id,parent_subgoal,semantic_label,label_ko,start_anchor,end_anchor,gripper_semantics,manipulated_object,entry_state,exit_state,path_length_median_mm,phase_residual_p90_mean_mm,confidence
S1,open_white_container,approach_white_container_handle,흰색 컨테이너 손잡이로 접근,START,C1,open; closes at C1,white_container_handle,"{""blue_block"": ""on_black_table"", ""gripper"": ""open"", ""held_object"": ""none"", ""white_container"": ""closed""}","{""blue_block"": ""on_black_table"", ""gripper"": ""closed"", ""held_object"": ""white_container_handle"", ""white_container"": ""closed""}",197.82250077120887,28.858080645213402,high
S2,open_white_container,manipulate_white_container_open,손잡이를 조작하여 흰색 컨테이너 열기,C1,O1,closed; opens at O1,white_container_handle,"{""blue_block"": ""on_black_table"", ""gripper"": ""closed"", ""held_object"": ""white_container_handle"", ""white_container"": ""closed""}","{""blue_block"": ""on_black_table"", ""gripper"": ""open"", ""held_object"": ""none"", ""white_container"": ""open""}",479.23347230157566,36.51545427779662,high
S3,acquire_blue_block,approach_blue_block_on_black_table,검은 테이블 위 파란 블록으로 접근,O1,C2,open; closes at C2,blue_block,"{""blue_block"": ""on_black_table"", ""gripper"": ""open"", ""held_object"": ""none"", ""white_container"": ""open""}","{""blue_block"": ""held"", ""gripper"": ""closed"", ""held_object"": ""blue_block"", ""white_container"": ""open""}",209.02548899209842,34.49527225127517,high
S4,place_blue_block_in_white_container,lift_transport_and_align_blue_block,파란 블록을 들어 컨테이너로 운반·정렬,C2,O2,closed; opens at O2,blue_block,"{""blue_block"": ""held"", ""gripper"": ""closed"", ""held_object"": ""blue_block"", ""white_container"": ""open""}","{""blue_block"": ""in_white_container"", ""gripper"": ""open"", ""held_object"": ""none"", ""white_container"": ""open""}",437.2018848931093,41.338986044138885,high
S5,finish_task,retract_after_blue_block_release,블록 방출 후 컨테이너에서 후퇴,O2,END,open,none,"{""blue_block"": ""in_white_container"", ""gripper"": ""open"", ""held_object"": ""none"", ""white_container"": ""open""}","{""blue_block"": ""in_white_container"", ""gripper"": ""open"", ""held_object"": ""none"", ""white_container"": ""open""}",252.23479903063009,38.10857252164576,medium
