segment_id,parent_subgoal,semantic_label,label_ko,start_anchor,end_anchor,gripper_semantics,manipulated_object,entry_state,exit_state,path_length_median_mm,phase_residual_p90_mean_mm,confidence
S1,acquire_top_blue_block_from_stack,approach_top_blue_block_on_support_block,지지 블록 위 상단 파란 블록으로 접근,START,C1,open; closes at C1,moving_blue_block,"{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""on_top_of_support_blue_block"", ""stack"": ""assembled"", ""support_blue_block"": ""on_black_table""}","{""gripper"": ""closed"", ""held_object"": ""moving_blue_block"", ""moving_blue_block"": ""held"", ""stack"": ""disassembling"", ""support_blue_block"": ""on_black_table""}",452.3675356800255,42.0087021804876,high
S2,unstack_and_place_blue_block_on_black_table,lift_separate_transport_and_align_top_block_to_black_table,상단 블록을 들어 분리하고 검은 테이블로 운반·정렬,C1,O1,closed; opens at O1,moving_blue_block,"{""gripper"": ""closed"", ""held_object"": ""moving_blue_block"", ""moving_blue_block"": ""held"", ""stack"": ""disassembling"", ""support_blue_block"": ""on_black_table""}","{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""on_black_table"", ""stack"": ""disassembled"", ""support_blue_block"": ""on_black_table""}",653.3859914949016,37.25843404109083,high
S3,finish_task,retract_after_unstacking_and_placing_blue_block,분리한 블록을 놓은 뒤 후퇴,O1,END,open,none,"{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""on_black_table"", ""stack"": ""disassembled"", ""support_blue_block"": ""on_black_table""}","{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""on_black_table"", ""stack"": ""disassembled"", ""support_blue_block"": ""on_black_table""}",221.49021556367762,31.7313590131294,medium
