segment_id,parent_subgoal,semantic_label,label_ko,start_anchor,end_anchor,gripper_semantics,manipulated_object,entry_state,exit_state,path_length_median_mm,phase_residual_p90_mean_mm,confidence
S1,acquire_blue_block_for_stacking,approach_moving_blue_block_in_source_region,적층할 파란 블록으로 접근,START,C1,open; closes at C1,moving_blue_block,"{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""source_region"", ""stack"": ""unassembled"", ""support_blue_block"": ""on_black_table""}","{""gripper"": ""closed"", ""held_object"": ""moving_blue_block"", ""moving_blue_block"": ""held"", ""stack"": ""unassembled"", ""support_blue_block"": ""on_black_table""}",227.50670100230462,30.937246733107084,high
S2,stack_blue_blocks_on_black_table,lift_transport_align_and_stack_blue_block_on_support_block,파란 블록을 들어 지지 블록 위로 운반·정렬·적층,C1,O1,closed; opens at O1,moving_blue_block,"{""gripper"": ""closed"", ""held_object"": ""moving_blue_block"", ""moving_blue_block"": ""held"", ""stack"": ""unassembled"", ""support_blue_block"": ""on_black_table""}","{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""on_top_of_support_blue_block"", ""stack"": ""assembled"", ""support_blue_block"": ""on_black_table""}",576.3198043175281,41.89109913917996,high
S3,finish_task,retract_after_stacking_blue_blocks,블록 적층 후 안전하게 후퇴,O1,END,open,none,"{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""on_top_of_support_blue_block"", ""stack"": ""assembled"", ""support_blue_block"": ""on_black_table""}","{""gripper"": ""open"", ""held_object"": ""none"", ""moving_blue_block"": ""on_top_of_support_blue_block"", ""stack"": ""assembled"", ""support_blue_block"": ""on_black_table""}",518.4073766008739,50.650997857505835,medium
